CANTON;J.29.1;F.16.1;Nuevos datos;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6
ROCAFUERTE;1300;48;2;1;1;1;1;1;1
ROCAFUERTE;1500;48;3;2;1;1;1;1;1
ROCAFUERTE;2500;44;3;2;1;1;1;1;1
ROCAFUERTE;1100;45;3;2;1;1;1;1;1
ROCAFUERTE;800;48;2;1;1;1;1;1;1
SUCRE;1300;52;2;1;1;1;1;1;1
ROCAFUERTE;1200;90;2;1;1;1;1;1;1
ROCAFUERTE;1100;52;3;1;1;1;1;1;1
ROCAFUERTE;1200;48;3;1;1;1;2;1;1
ROCAFUERTE;1000;50;3;1;1;1;2;2;1
ROCAFUERTE;1100;48;3;1;1;1;2;2;1
ROCAFUERTE;800;48;3;2;1;1;3;1;1
ROCAFUERTE;1500;53;3;1;1;1;3;1;1
ROCAFUERTE;900;56;3;1;1;1;2;1;1
SUCRE;1100;53;3;1;1;1;2;1;1
SUCRE;800;48;3;1;1;1;2;2;1
ROCAFUERTE;1000;50;3;1;1;1;2;1;1
ROCAFUERTE;1200;48;3;1;1;1;2;2;1
ROCAFUERTE;1000;53;3;1;1;1;2;2;1
ROCAFUERTE;1000;48;2;2;1;1;1;1;1
ROCAFUERTE;1000;48;2;2;2;1;2;2;1
SUCRE;1000;48;2;1;1;1;2;2;2
ROCAFUERTE;1000;50;2;1;1;1;2;1;1
SUCRE;1500;48;2;1;1;1;2;1;1
ROCAFUERTE;1200;52;2;1;1;1;2;1;1
ROCAFUERTE;1500;52;2;1;1;1;1;1;1
ROCAFUERTE;1000;48;2;1;1;1;2;1;1
ROCAFUERTE;1100;48;2;2;2;1;1;1;1
SUCRE;1000;48;2;2;1;1;1;2;1
SUCRE;1200;50;2;1;1;1;2;2;1
ROCAFUERTE;1200;48;2;2;1;1;2;2;1
ROCAFUERTE;1100;50;2;2;1;1;2;2;1
ROCAFUERTE;800;48;2;1;1;1;1;1;1
SUCRE;800;50;2;1;1;1;2;1;1
ROCAFUERTE;1000;52;3;2;1;1;2;1;1
ROCAFUERTE;1300;48;3;2;2;1;2;2;1
SUCRE;1000;52;3;2;1;1;1;1;1
SUCRE;800;48;3;2;2;1;2;1;1
ROCAFUERTE;1000;48;3;2;1;1;2;1;1
SUCRE;1000;48;3;2;1;1;2;2;2
ROCAFUERTE;1900;50;3;2;1;1;1;1;1
SUCRE;900;52;2;1;1;1;1;1;1
ROCAFUERTE;1500;48;2;2;1;1;2;1;1
ROCAFUERTE;1600;50;2;1;1;1;2;1;1
ROCAFUERTE;1500;48;2;2;1;1;2;2;1
ROCAFUERTE;800;48;2;1;1;1;1;1;1
ROCAFUERTE;1000;48;2;1;1;1;1;1;1
PORTOVIEJO;700;48;1;1;1;1;1;2;1
PORTOVIEJO;800;50;1;1;1;1;1;1;1
PORTOVIEJO;1100;50;1;1;1;1;1;1;1
PORTOVIEJO;1200;48;1;1;1;1;1;1;1
PORTOVIEJO;600;55;1;1;1;1;1;1;1
PORTOVIEJO;1200;48;1;1;1;1;2;2;1
ROCAFUERTE;1000;48;1;1;1;1;1;1;1
SUCRE;1100;50;1;1;1;5;2;2;1
PORTOVIEJO;1000;48;1;1;1;1;1;1;1
PORTOVIEJO;1100;48;2;1;1;1;1;1;1
PORTOVIEJO;800;55;2;2;1;1;2;1;1
PORTOVIEJO;600;54;2;2;1;1;2;1;1
PORTOVIEJO;600;56;2;1;1;1;2;1;1
PORTOVIEJO;600;56;2;1;1;1;1;1;1
PORTOVIEJO;800;56;2;1;1;1;2;1;1
PORTOVIEJO;500;54;2;1;1;1;2;1;1
PORTOVIEJO;200;56;2;2;1;1;2;1;1
PORTOVIEJO;500;40;2;2;1;1;2;1;1
